City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,cancun,MX,2022-05-01 19:58:04,21.1743,-86.8466,84.06,66,20,10.18,few clouds
206,tayu,ID,2022-05-01 19:58:05,-6.5397,111.0518,78.58,90,100,8.95,overcast clouds
207,port blair,IN,2022-05-01 19:49:10,11.6667,92.75,78.84,94,40,2.3,mist
208,mantua,IT,2022-05-01 19:58:05,45.1667,10.7833,60.04,79,57,1.99,broken clouds
209,sergiyevsk,RU,2022-05-01 19:58:06,53.9413,51.165,36.93,58,2,2.64,clear sky
210,umzimvubu,RU,2022-05-01 19:58:06,53.9413,51.165,36.93,58,2,2.64,clear sky
211,beloha,MG,2022-05-01 19:58:06,-25.1667,45.05,67.15,85,5,4.97,clear sky
212,chiriqui grande,PA,2022-05-01 19:58:06,8.95,-82.1167,83.37,82,99,5.39,overcast clouds
213,ewa beach,US,2022-05-01 19:53:59,21.3156,-158.0072,78.75,72,75,5.75,broken clouds
214,uvat,RU,2022-05-01 19:58:07,59.1433,68.8953,35.85,68,97,6.06,overcast clouds
215,araouane,ML,2022-05-01 19:58:07,18.9048,-3.5265,85.84,13,0,9.78,clear sky
216,rio gallegos,AR,2022-05-01 19:58:08,-51.6226,-69.2181,51.85,66,75,12.66,broken clouds
217,alofi,NU,2022-05-01 19:58:08,-19.0595,-169.9187,80.49,89,100,5.75,overcast clouds
218,belushya guba,NU,2022-05-01 19:58:08,-19.0595,-169.9187,80.49,89,100,5.75,overcast clouds
219,skalistyy,NU,2022-05-01 19:58:08,-19.0595,-169.9187,80.49,89,100,5.75,overcast clouds
220,amderma,NU,2022-05-01 19:58:08,-19.0595,-169.9187,80.49,89,100,5.75,overcast clouds
221,broken hill,AU,2022-05-01 19:55:07,-31.95,141.4333,46.11,87,0,0.0,clear sky
222,shaowu,CN,2022-05-01 19:58:09,27.3409,117.4831,54.93,97,100,1.81,overcast clouds
223,mattawa,US,2022-05-01 19:58:09,46.7379,-119.9028,65.26,39,72,1.99,broken clouds
224,victoria,HK,2022-05-01 19:53:53,22.2855,114.1577,64.26,93,100,5.99,light rain
